YEAR,MONTH,DATE,HOUR,MIN,PREDICTED,ACTUAL,ERROR,ERROR_RUN_SUM
2014,11,10,0,0,,0.02407,,
2014,11,10,1,0,,0.02354,,
2014,11,10,2,0,,0.02287,,
2014,11,10,3,0,,0.0227,,
2014,11,10,4,0,,0.02321,,
2014,11,10,5,0,,0.02755,,
2014,11,10,6,0,,0.03185,,
2014,11,10,7,0,,0.03365,,
2014,11,10,8,0,,0.03291,,
2014,11,10,9,0,,0.03268,,
2014,11,10,10,0,,0.03212,,
2014,11,10,11,0,,0.03109,,
2014,11,10,12,0,,0.03029,,
2014,11,10,13,0,,0.02991,,
2014,11,10,14,0,,0.02951,,
2014,11,10,15,0,,0.02995,,
2014,11,10,16,0,,0.03668,,
2014,11,10,17,0,,0.03754,,
2014,11,10,18,0,,0.03533,,
2014,11,10,19,0,,0.03543,,
2014,11,10,20,0,,0.03385,,
2014,11,10,21,0,,0.02975,,
2014,11,10,22,0,,0.02875,,
2014,11,10,23,0,,0.02691,,
2014,11,11,0,0,,0.02621,,
2014,11,11,1,0,,0.02455,,
2014,11,11,2,0,,0.02381,,
2014,11,11,3,0,,0.02386,,
2014,11,11,4,0,,0.02445,,
2014,11,11,5,0,,0.02778,,
2014,11,11,6,0,,0.03393,,
2014,11,11,7,0,,0.03553,,
2014,11,11,8,0,,0.03369,,
2014,11,11,9,0,,0.0339,,
2014,11,11,10,0,,0.03344,,
2014,11,11,11,0,,0.03154,,
2014,11,11,12,0,,0.03073,,
2014,11,11,13,0,,0.02962,,
2014,11,11,14,0,,0.02871,,
2014,11,11,15,0,,0.02924,,
2014,11,11,16,0,,0.03645,,
2014,11,11,17,0,,0.03913,,
2014,11,11,18,0,,0.03602,,
2014,11,11,19,0,,0.03469,,
2014,11,11,20,0,,0.03325,,
2014,11,11,21,0,,0.02837,,
2014,11,11,22,0,,0.0265,,
2014,11,11,23,0,,0.02471,,
2014,11,12,0,0,,0.02333,,
2014,11,12,1,0,,0.02253,,
2014,11,12,2,0,,0.02248,,
2014,11,12,3,0,,0.02283,,
2014,11,12,4,0,,0.02072,,
2014,11,12,5,0,,0.02539,,
2014,11,12,6,0,,0.03265,,
2014,11,12,7,0,,0.03246,,
2014,11,12,8,0,,0.03242,,
2014,11,12,9,0,,0.03133,,
2014,11,12,10,0,,0.03045,,
2014,11,12,11,0,,0.02895,,
2014,11,12,12,0,,0.02919,,
2014,11,12,13,0,,0.02879,,
2014,11,12,14,0,,0.02891,,
2014,11,12,15,0,,0.02864,,
2014,11,12,16,0,,0.03205,,
2014,11,12,17,0,,0.03424,,
2014,11,12,18,0,,0.03115,,
2014,11,12,19,0,,0.03024,,
2014,11,12,20,0,,0.02987,,
2014,11,12,21,0,,0.02661,,
2014,11,12,22,0,,0.02581,,
2014,11,12,23,0,,0.02469,,
2014,11,13,0,0,,0.0235,,
2014,11,13,1,0,,0.02272,,
2014,11,13,2,0,,0.02243,,
2014,11,13,3,0,,0.02165,,
2014,11,13,4,0,,0.0217,,
2014,11,13,5,0,,0.02442,,
2014,11,13,6,0,,0.02837,,
2014,11,13,7,0,,0.02918,,
2014,11,13,8,0,,0.03022,,
2014,11,13,9,0,,0.03062,,
2014,11,13,10,0,,0.03025,,
2014,11,13,11,0,,0.02832,,
2014,11,13,12,0,,0.02806,,
2014,11,13,13,0,,0.02716,,
2014,11,13,14,0,,0.02706,,
2014,11,13,15,0,,0.02757,,
2014,11,13,16,0,,0.03039,,
2014,11,13,17,0,,0.03181,,
2014,11,13,18,0,,0.03038,,
2014,11,13,19,0,,0.02944,,
2014,11,13,20,0,,0.02849,,
2014,11,13,21,0,,0.02446,,
2014,11,13,22,0,,0.02324,,
2014,11,13,23,0,,0.02271,,
2014,11,14,0,0,,0.0213,,
2014,11,14,1,0,,0.02019,,
2014,11,14,2,0,,0.01941,,
2014,11,14,3,0,,0.01917,,
2014,11,14,4,0,,0.01909,,
2014,11,14,5,0,,0.02066,,
2014,11,14,6,0,,0.02284,,
2014,11,14,7,0,,0.0249,,
2014,11,14,8,0,,0.02661,,
2014,11,14,9,0,,0.02692,,
2014,11,14,10,0,,0.02692,,
2014,11,14,11,0,,0.02645,,
